#
# Random graph on 1000 nodes. G(100, 1000) (Fri Apr 20 16:34:54 2018)
#
# Degree, k	Clustering coefficient, <C(k)>
10	0.155556
12	0.166667
13	0.245338
14	0.195604
15	0.199817
16	0.20103
17	0.207598
18	0.176214
19	0.216226
20	0.193094
21	0.193993
22	0.180538
23	0.191775
24	0.186759
25	0.187316
26	0.210769
27	0.198077
28	0.196581
29	0.202279
32	0.174453
