0,47
1,9684
2,5562
3,3910
4,2849
5,2210
6,1722
7,1476
8,1236
9,1106
10,906
11,849
12,735
13,648
14,617
15,554
16,510
17,417
18,423
19,406
20,371
21,368
22,285
23,313
24,278
25,268
26,243
27,222
28,202
29,218
30,193
31,168
32,193
33,205
34,165
35,155
36,151
37,153
38,116
39,131
40,126
41,121
42,117
43,112
44,98
45,99
46,111
47,91
48,110
49,87
50,100
51,88
52,83
53,85
54,76
55,69
56,70
57,69
58,54
59,55
60,55
61,47
62,61
63,69
64,53
65,51
66,61
67,70
68,53
69,59
70,42
71,48
72,49
73,37
74,30
75,45
76,49
77,38
78,33
79,36
80,41
81,33
82,38
83,36
84,39
85,29
86,39
87,37
88,26
89,36
90,36
91,21
92,24
93,19
94,37
95,27
96,25
97,28
98,25
99,24
100,24
101,16
102,34
103,13
104,21
105,22
106,24
107,26
108,24
109,24
110,12
111,19
112,14
113,13
114,17
115,12
116,11
117,15
118,16
119,17
120,19
121,10
122,22
123,9
124,18
125,14
126,12
127,10
128,13
129,13
130,7
131,11
132,12
133,7
134,17
135,9
136,12
137,8
138,13
139,11
140,7
141,10
142,8
143,5
144,11
145,12
146,6
147,7
148,12
149,13
150,7
151,8
152,4
153,7
154,4
155,6
156,10
157,6
158,3
159,3
160,7
161,7
162,10
163,7
164,4
165,3
166,6
167,2
168,7
169,6
170,2
171,1
173,7
174,5
175,7
176,8
177,2
178,4
179,7
180,7
181,3
182,3
183,1
184,4
185,2
186,7
187,7
188,1
189,3
190,9
191,5
192,2
193,2
194,1
195,4
196,5
197,3
198,1
199,6
200,2
201,3
202,3
203,2
205,2
206,4
207,2
208,1
209,1
210,2
211,2
212,4
213,2
214,4
215,2
216,1
218,2
220,4
221,1
222,3
223,1
224,2
225,4
226,2
227,1
228,1
230,1
231,2
232,2
233,1
234,2
236,1
237,1
239,1
240,2
241,1
242,1
243,1
244,2
245,2
246,2
247,1
248,1
250,1
251,1
252,2
253,3
258,1
259,2
260,1
261,2
264,3
265,1
271,1
275,1
278,1
282,1
286,2
288,1
289,1
292,2
294,1
297,1
299,1
303,1
318,1
321,1
327,1
332,1
340,1
354,1
368,1
373,1
384,1
433,1
466,1
523,1
700,1
