0,42656
1,145
2,78
3,52
4,35
5,22
6,22
7,13
8,15
9,15
10,18
11,14
12,14
13,8
14,11
15,4
16,10
17,4
18,6
19,6
20,6
21,11
22,5
23,10
24,7
25,7
26,4
27,6
28,5
29,5
30,7
31,10
32,8
33,4
34,9
35,10
36,10
37,4
38,8
39,3
40,6
41,4
42,8
43,7
44,7
45,7
46,6
47,6
48,8
49,2
50,5
51,3
52,9
53,3
54,5
55,3
56,7
57,2
58,8
59,5
60,3
61,8
62,3
63,8
64,3
65,3
66,4
67,4
68,2
69,3
70,5
71,5
72,3
73,3
74,3
75,10
76,2
77,5
78,5
79,7
80,1
81,5
82,5
83,6
84,7
85,10
86,3
87,8
88,5
89,9
90,4
91,4
92,5
93,2
94,1
95,1
96,5
97,3
98,8
99,5
100,1
101,5
102,5
103,1
104,4
105,2
106,2
107,4
108,2
109,3
110,2
111,5
112,3
113,5
114,4
115,5
116,1
117,3
118,5
119,5
121,1
122,1
123,5
124,2
125,5
126,3
127,1
128,2
129,6
130,3
131,4
132,7
133,3
134,4
135,2
136,5
137,2
138,2
139,6
140,2
141,1
142,2
143,5
144,1
145,6
146,1
147,2
148,3
150,2
151,2
152,5
153,3
154,6
155,2
156,1
157,2
158,2
159,4
160,2
161,4
162,2
163,7
164,3
165,1
166,4
167,2
168,7
169,7
170,2
171,2
172,5
173,6
174,3
175,5
176,1
177,5
178,2
179,1
180,2
181,2
182,3
183,1
184,3
185,1
186,1
187,4
188,2
189,6
190,1
191,2
192,6
193,3
194,3
195,4
197,4
198,1
199,3
200,5
201,6
203,5
204,4
205,5
207,2
208,4
209,1
210,8
211,3
212,1
213,1
214,2
215,4
216,3
217,2
218,1
219,1
220,4
221,1
223,1
224,2
225,1
226,1
227,1
228,4
229,1
230,2
231,2
232,2
233,3
234,5
235,1
236,1
239,1
240,2
241,3
242,2
243,3
245,1
246,3
247,2
248,1
249,1
250,3
251,1
252,3
253,2
254,5
255,2
256,2
257,2
258,2
259,3
260,4
261,2
262,3
263,2
264,4
265,2
266,2
267,2
268,5
269,2
270,1
271,2
272,4
273,5
274,4
275,2
277,5
278,6
280,1
281,3
282,1
283,3
284,2
285,1
286,2
287,1
288,3
289,1
290,1
291,1
295,3
296,2
297,2
298,1
299,2
300,1
301,2
302,3
303,3
304,1
305,1
306,1
307,3
308,3
309,2
310,2
311,5
312,2
313,2
314,2
315,5
316,1
317,2
319,5
320,1
321,3
322,2
325,5
328,4
329,1
330,4
331,1
332,2
334,3
335,1
336,1
339,1
341,2
342,1
343,1
344,2
345,1
346,2
347,1
348,1
349,4
352,2
353,1
354,3
355,1
356,1
360,1
361,1
362,3
363,1
364,1
365,2
366,3
368,2
370,1
371,2
373,1
374,1
375,2
376,1
377,2
378,2
379,1
380,1
381,1
382,2
383,2
384,2
385,1
387,3
388,2
389,2
391,4
392,1
393,3
394,2
396,3
398,4
399,2
402,1
405,2
406,1
407,3
408,2
410,1
411,3
412,1
414,1
415,2
416,2
417,2
418,1
419,1
420,2
421,1
423,2
424,5
426,1
427,2
428,3
432,1
435,2
438,3
442,1
443,3
444,2
445,2
447,1
448,2
452,2
453,1
454,1
456,1
457,1
459,2
460,1
462,2
463,2
465,2
466,1
467,1
469,2
470,2
471,3
472,3
473,1
474,1
475,2
477,1
478,2
479,1
481,3
482,1
483,1
486,5
487,1
488,1
490,1
491,1
492,1
493,1
494,2
496,2
497,2
499,2
501,5
505,1
506,2
507,1
508,4
509,1
510,1
513,3
514,1
515,2
516,2
517,1
520,1
524,3
526,1
530,1
534,1
537,1
